Statistical profiling result from isolate-0x2f10e60-v8.log, (1174 ticks, 26 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3   75.0%        LazyCompile: ~resolve /home/mcfinley/projects/current/zen-parser/lib/helpers/Maybe.js:34:10
      3  100.0%          LazyCompile: ~reduces.forEach.reduce /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:30:19
      3  100.0%            Builtin: ArrayForEach
      1   25.0%        LazyCompile: *resolve /home/mcfinley/projects/current/zen-parser/lib/helpers/Maybe.js:34:10
      1  100.0%          LazyCompile: ~reduces.forEach.reduce /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:30:19
      1  100.0%            Builtin: ArrayForEach
      4    5.1%    v8::internal::Builtin_ArrayConcat(int, v8::internal::Object**, v8::internal::Isolate*)
      4  100.0%      LazyCompile: ~find.resolve.lexem /home/mcfinley/projects/current/zen-parser/lib/Lexer.js:25:81
      4  100.0%        LazyCompile: ~resolve /home/mcfinley/projects/current/zen-parser/lib/helpers/Maybe.js:34:10
      4  100.0%          LazyCompile: ~until /home/mcfinley/projects/current/zen-parser/lib/Lexer.js:24:7
      4  100.0%            LazyCompile: ~until /home/mcfinley/projects/current/zen-parser/lib/helpers/rich.js:7:15
      1    1.3%    v8::internal::Builtin_ArrayUnshift(int, v8::internal::Object**, v8::internal::Isolate*)
      1  100.0%      LazyCompile: ~find.resolve.rule /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:31:64
      1  100.0%        LazyCompile: ~resolve /home/mcfinley/projects/current/zen-parser/lib/helpers/Maybe.js:34:10
      1  100.0%          LazyCompile: ~reduces.forEach.reduce /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:30:19
      1  100.0%            Builtin: ArrayForEach

     74    6.3%  /lib/x86_64-linux-gnu/libpthread-2.23.so

     53    4.5%  Builtin: GrowFastSmiOrObjectElements
     50   94.3%    LazyCompile: *shifts.forEach.shift /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:42:18
     50  100.0%      Builtin: ArrayForEach
     29   58.0%        LazyCompile: ~burnMachine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:21:21
     29  100.0%          LazyCompile: ~machines.forEach.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:66:22
     29  100.0%            Builtin: ArrayForEach
     14   28.0%        LazyCompile: *machines.forEach.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:66:22
     14  100.0%          Builtin: ArrayForEach
     14  100.0%            LazyCompile: ~parse /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:60:15
      7   14.0%        LazyCompile: *burnMachine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:21:21
      7  100.0%          LazyCompile: ~machines.forEach.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:66:22
      7  100.0%            Builtin: ArrayForEach
      3    5.7%    LazyCompile: *find.resolve.rule /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:31:64
      2   66.7%      LazyCompile: ~resolve /home/mcfinley/projects/current/zen-parser/lib/helpers/Maybe.js:34:10
      2  100.0%        LazyCompile: ~reduces.forEach.reduce /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:30:19
      2  100.0%          Builtin: ArrayForEach
      2  100.0%            LazyCompile: *machines.forEach.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:66:22
      1   33.3%      LazyCompile: *resolve /home/mcfinley/projects/current/zen-parser/lib/helpers/Maybe.js:34:10
      1  100.0%        LazyCompile: ~reduces.forEach.reduce /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:30:19
      1  100.0%          Builtin: ArrayForEach
      1  100.0%            LazyCompile: *machines.forEach.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:66:22

     51    4.3%  Stub: InternalArraySingleArgumentConstructorStub
     51  100.0%    LazyCompile: *DoJoin native array.js:94:16
     48   94.1%      LazyCompile: *Join native array.js:119:14
     32   66.7%        LazyCompile: *InnerArrayJoin native array.js:274:24
     32  100.0%          LazyCompile: *join native array.js:287:46
     18   56.3%            LazyCompile: *machines.sort /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:74:32
      7   21.9%            LazyCompile: ~machines.filter.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:76:34
      4   12.5%            LazyCompile: ~parse /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:60:15
      3    9.4%            LazyCompile: ~machines.sort /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:74:32
     16   33.3%        LazyCompile: ~InnerArrayJoin native array.js:274:24
     11   68.8%          LazyCompile: ~join native array.js:287:46
      5   45.5%            LazyCompile: ~machines.sort /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:74:32
      4   36.4%            LazyCompile: ~machines.filter.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:76:34
      2   18.2%            LazyCompile: ~parse /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:60:15
      5   31.3%          LazyCompile: *join native array.js:287:46
      2   40.0%            LazyCompile: ~machines.sort /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:74:32
      2   40.0%            LazyCompile: ~machines.filter.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:76:34
      1   20.0%            LazyCompile: ~parse /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:60:15
      3    5.9%      LazyCompile: ~Join native array.js:119:14
      3  100.0%        LazyCompile: ~InnerArrayJoin native array.js:274:24
      3  100.0%          LazyCompile: ~join native array.js:287:46
      2   66.7%            LazyCompile: ~machines.filter.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:76:34
      1   33.3%            LazyCompile: ~machines.sort /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:74:32

     46    3.9%  v8::internal::Heap::AllocateFixedArrayWithFiller(int, v8::internal::PretenureFlag, v8::internal::Object*)
     43   93.5%    v8::internal::Builtin_ArraySlice(int, v8::internal::Object**, v8::internal::Isolate*)
     26   60.5%      LazyCompile: *shifts.forEach.shift /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:42:18
     26  100.0%        Builtin: ArrayForEach
     19   73.1%          LazyCompile: ~burnMachine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:21:21
     19  100.0%            LazyCompile: ~machines.forEach.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:66:22
      6   23.1%          LazyCompile: *machines.forEach.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:66:22
      6  100.0%            Builtin: ArrayForEach
      1    3.8%          LazyCompile: *burnMachine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:21:21
      1  100.0%            LazyCompile: ~machines.forEach.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:66:22
      9   20.9%      LazyCompile: ~cloneMachine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:4:22
      6   66.7%        LazyCompile: ~shifts.forEach.shift /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:42:18
      6  100.0%          Builtin: ArrayForEach
      6  100.0%            LazyCompile: ~burnMachine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:21:21
      3   33.3%        LazyCompile: ~find.resolve.rule /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:31:64
      3  100.0%          LazyCompile: ~resolve /home/mcfinley/projects/current/zen-parser/lib/helpers/Maybe.js:34:10
      3  100.0%            LazyCompile: ~reduces.forEach.reduce /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:30:19
      7   16.3%      LazyCompile: *cloneMachine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:4:22
      7  100.0%        LazyCompile: ~find.resolve.rule /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:31:64
      7  100.0%          LazyCompile: ~resolve /home/mcfinley/projects/current/zen-parser/lib/helpers/Maybe.js:34:10
      7  100.0%            LazyCompile: ~reduces.forEach.reduce /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:30:19
      1    2.3%      LazyCompile: *find.resolve.rule /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:31:64
      1  100.0%        LazyCompile: *resolve /home/mcfinley/projects/current/zen-parser/lib/helpers/Maybe.js:34:10
      1  100.0%          LazyCompile: ~reduces.forEach.reduce /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:30:19
      1  100.0%            Builtin: ArrayForEach
      3    6.5%    v8::internal::Builtin_ArrayUnshift(int, v8::internal::Object**, v8::internal::Isolate*)
      3  100.0%      LazyCompile: ~find.resolve.rule /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:31:64
      3  100.0%        LazyCompile: ~resolve /home/mcfinley/projects/current/zen-parser/lib/helpers/Maybe.js:34:10
      3  100.0%          LazyCompile: ~reduces.forEach.reduce /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:30:19
      3  100.0%            Builtin: ArrayForEach

     40    3.4%  void node::StreamBase::JSMethod<node::LibuvStreamWrap, &(int node::StreamBase::WriteString<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
     40  100.0%    v8::internal::Builtin_HandleApiCall(int, v8::internal::Object**, v8::internal::Isolate*)
     40  100.0%      LazyCompile: ~createWriteReq net.js:795:24
     40  100.0%        LazyCompile: ~Socket._writeGeneric net.js:714:42
     40  100.0%          LazyCompile: ~Socket._write net.js:791:35
     40  100.0%            LazyCompile: ~doWrite _stream_writable.js:380:17

     28    2.4%  node::(anonymous namespace)::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     28  100.0%    v8::internal::Builtin_HandleApiCall(int, v8::internal::Object**, v8::internal::Isolate*)
     26   92.9%      LazyCompile: ~runInThisContext bootstrap_node.js:503:28
     26  100.0%        LazyCompile: ~NativeModule.compile bootstrap_node.js:589:44
     26  100.0%          LazyCompile: ~NativeModule.require bootstrap_node.js:521:34
      5   19.2%            Script: ~<anonymous> module.js:1:11
      4   15.4%            Script: ~<anonymous> util.js:1:11
      3   11.5%            Script: ~<anonymous> tty.js:1:11
      2    7.7%            Script: ~<anonymous> stream.js:1:11
      2    7.7%            Script: ~<anonymous> internal/loader/Loader.js:1:11
      1    3.8%            Script: ~<anonymous> readline.js:1:11
      1    3.8%            Script: ~<anonymous> net.js:1:11
      1    3.8%            Script: ~<anonymous> internal/url.js:1:11
      1    3.8%            Script: ~<anonymous> internal/loader/ModuleRequest.js:1:11
      1    3.8%            Script: ~<anonymous> fs.js:1:11
      1    3.8%            Script: ~<anonymous> _stream_readable.js:1:11
      1    3.8%            LazyCompile: ~setup_performance internal/process.js:12:27
      1    3.8%            LazyCompile: ~setupGlobalVariables bootstrap_node.js:255:32
      1    3.8%            LazyCompile: ~setupGlobalTimeouts bootstrap_node.js:304:31
      1    3.8%            LazyCompile: ~setupGlobalConsole bootstrap_node.js:314:30
      2    7.1%      LazyCompile: ~createScript vm.js:79:22
      2  100.0%        LazyCompile: ~runInThisContext vm.js:151:26
      2  100.0%          LazyCompile: ~Module._compile module.js:598:37
      2  100.0%            LazyCompile: ~Module._extensions..js module.js:650:37

     26    2.2%  UNKNOWN

     15    1.3%  LazyCompile: ~ConvertToString native array.js:132:25
     14   93.3%    LazyCompile: *DoJoin native array.js:94:16
     14  100.0%      LazyCompile: ~Join native array.js:119:14
     14  100.0%        LazyCompile: ~InnerArrayJoin native array.js:274:24
     14  100.0%          LazyCompile: ~join native array.js:287:46
      9   64.3%            LazyCompile: ~machines.filter.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:76:34
      3   21.4%            LazyCompile: ~machines.sort /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:74:32
      2   14.3%            LazyCompile: ~parse /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:60:15
      1    6.7%    LazyCompile: ~DoJoin native array.js:94:16
      1  100.0%      LazyCompile: ~Join native array.js:119:14
      1  100.0%        LazyCompile: ~InnerArrayJoin native array.js:274:24
      1  100.0%          LazyCompile: ~join native array.js:287:46
      1  100.0%            LazyCompile: ~machines.sort /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:74:32

     13    1.1%  syscall

     12    1.0%  Builtin: InterpreterEntryTrampoline
      4   33.3%    LazyCompile: *DoJoin native array.js:94:16
      4  100.0%      LazyCompile: ~Join native array.js:119:14
      4  100.0%        LazyCompile: ~InnerArrayJoin native array.js:274:24
      4  100.0%          LazyCompile: ~join native array.js:287:46
      2   50.0%            LazyCompile: ~machines.sort /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:74:32
      2   50.0%            LazyCompile: ~machines.filter.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:76:34
      1    8.3%    LazyCompile: ~resolve /home/mcfinley/projects/current/zen-parser/lib/helpers/Maybe.js:34:10
      1  100.0%      LazyCompile: ~reduces.forEach.reduce /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:30:19
      1  100.0%        Builtin: ArrayForEach
      1  100.0%          LazyCompile: ~burnMachine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:21:21
      1  100.0%            LazyCompile: ~machines.forEach.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:66:22
      1    8.3%    LazyCompile: ~parse /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:60:15
      1  100.0%      LazyCompile: ~fromLexems /home/mcfinley/projects/current/zen-parser/lib/Parser.js:29:14
      1  100.0%        Script: ~<anonymous> /home/mcfinley/projects/current/zen-parser/examples/calc.js:1:11
      1  100.0%          LazyCompile: ~Module._compile module.js:598:37
      1  100.0%            LazyCompile: ~Module._extensions..js module.js:650:37
      1    8.3%    LazyCompile: ~formatObject util.js:651:22
      1  100.0%      LazyCompile: ~formatValue util.js:400:21
      1  100.0%        LazyCompile: ~formatProperty util.js:832:24
      1  100.0%          LazyCompile: ~formatObject util.js:651:22
      1  100.0%            LazyCompile: ~formatValue util.js:400:21
      1    8.3%    LazyCompile: ~find.resolve.rule /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:31:64
      1  100.0%      LazyCompile: ~resolve /home/mcfinley/projects/current/zen-parser/lib/helpers/Maybe.js:34:10
      1  100.0%        LazyCompile: ~reduces.forEach.reduce /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:30:19
      1  100.0%          Builtin: ArrayForEach
      1  100.0%            LazyCompile: ~burnMachine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:21:21
      1    8.3%    LazyCompile: ~InsertionSort native array.js:542:23
      1  100.0%      LazyCompile: ~QuickSort native array.js:573:19
      1  100.0%        LazyCompile: ~InnerArraySort native array.js:529:24
      1  100.0%          LazyCompile: ~sort native array.js:748:46
      1  100.0%            LazyCompile: ~parse /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:60:15
      1    8.3%    LazyCompile: *collection.reduce /home/mcfinley/projects/current/zen-parser/lib/helpers/rich.js:4:3
      1  100.0%      Builtin: ArrayReduce
      1  100.0%        LazyCompile: ~find /home/mcfinley/projects/current/zen-parser/lib/helpers/rich.js:3:14
      1  100.0%          LazyCompile: ~reduces.forEach.reduce /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:30:19
      1  100.0%            Builtin: ArrayForEach
      1    8.3%    LazyCompile: *Join native array.js:119:14
      1  100.0%      LazyCompile: ~InnerArrayJoin native array.js:274:24
      1  100.0%        LazyCompile: ~join native array.js:287:46
      1  100.0%          LazyCompile: ~parse /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:60:15
      1  100.0%            LazyCompile: ~fromLexems /home/mcfinley/projects/current/zen-parser/lib/Parser.js:29:14
      1    8.3%    Builtin: ArrayForEach
      1  100.0%      LazyCompile: ~Array.find /home/mcfinley/projects/current/zen-parser/lib/helpers/rich.js:101:33
      1  100.0%        LazyCompile: ~wasSetParsed /home/mcfinley/projects/current/zen-parser/lib/parser/create-table.js:84:22
      1  100.0%          LazyCompile: ~createTable /home/mcfinley/projects/current/zen-parser/lib/parser/create-table.js:90:21
      1  100.0%            LazyCompile: ~Parser /home/mcfinley/projects/current/zen-parser/lib/Parser.js:12:15

